"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
5162,"",5.85,"",13.63975,65.3275,13.6916388888889,64.8225,114.42,51.47,0.07,0.08,0.054,-0.012,-6
5163,"",6.51,"",13.6449722222222,-3.00472222222222,13.73175,-4.50111111111111,326.12,54.99,0.05,0.01,-0.05,-0.018,-22
5164,"",6.13,"I",13.6504444444444,23.2047222222222,13.7292222222222,22.7002777777778,15.32,77.35,1.42,1.7,0.049,-0.036,9
5165,"83    Vir",5.6,"",13.6516666666667,-14.3238888888889,13.7416111111111,-15.8208333333333,321.03,44.82,0.81,0.41,0.013,-0.004,1
5166,"",6.21,"",13.6532222222222,-23.0022222222222,13.7460277777778,-24.4991666666667,317.81,35.83,1.38,NA,-0.053,-0.016,6
5167,"",5.81,"",13.6671944444444,-24.3858333333333,13.76025,-25.8838888888889,317.84,35.18,0.02,NA,-0.071,-0.01,-10
5168,"1    Cen",4.23,"",13.6667222222222,-31.4619444444444,13.7614444444444,-32.9561111111111,315.86,28.46,0.38,0,-0.462,-0.146,-22
5169,"",6.02,"",13.66725,52.5672222222222,13.7318611111111,52.0644444444444,104.91,63.19,0,-0.01,-0.026,-0.003,-7
5170,"85    Vir",6.19,"",13.6699722222222,-14.735,13.75975,-14.2325,321.56,45.14,0.05,NA,-0.044,-0.024,-41
5171,"",6.51,"I",13.6700277777778,-61.9111111111111,13.7863055555556,-61.41,309.3,-0.41,1.98,1.19,-0.023,-0.011,-36
5172,"",4.65,"",13.6720555555556,-49.0691666666667,13.7775833333333,-50.5672222222222,311.63,10.5,0.96,0.72,0.006,-0.033,-6
5173,"86    Vir",5.51,"",13.6768055555556,-10.0744444444444,13.7656388888889,-11.5733333333333,323.16,48.29,0.9,NA,-0.017,0.008,-11
5174,"",5.15,"",13.6851388888889,-34.2488888888889,13.7823333333333,-35.7480555555556,315.28,25.29,-0.02,NA,-0.011,-0.009,-10
5175,"",5.91,"",13.686,-48.2505555555556,13.791,-49.7505555555556,312.02,11.63,0.29,NA,0.058,0.013,16
5176,"",5.45,"",13.6895277777778,-48.1794444444444,13.794,-49.6788888888889,312.04,11.55,1.36,1.36,-0.151,-0.023,28
5177,"",6.5,"",13.6920555555556,56.3905555555556,13.7536666666667,55.8794444444444,107.97,59.66,0.47,-0.06,0.102,-0.36,-4
5178,"",6.05,"I",13.6989444444444,-8.79166666666667,13.7870833333333,-8.29083333333333,324.99,50.76,1.42,1.66,0.008,-0.037,7
5179,"",5.87,"",13.6996388888889,41.5902777777778,13.7704166666667,41.0886111111111,87.52,72.06,0.21,0.06,-0.114,-0.043,-13
5180,"",5.94,"",13.6997777777778,39.0041666666667,13.7719444444444,38.5038888888889,81.11,73.84,0.94,NA,-0.051,-0.002,-14
5181,"87    Vir",5.43,"I",13.6996944444444,-16.6408333333333,13.7903888888889,-16.14,321.28,43.01,1.62,1.94,0.059,-0.034,64
5182,"3    Boo",5.95,"",13.7013055555556,26.2038888888889,13.7786944444444,25.7022222222222,29.48,77.55,0.49,0.1,-0.02,-0.061,8
5183,"",6.33,"",13.6999722222222,6.85333333333333,13.7825277777778,6.35055555555556,337.86,65.38,0.63,0.16,-0.51,-0.108,-31
5184,"",5.91,"",13.7036666666667,78.565,13.7109166666667,78.0644444444444,119.56,38.73,1.01,NA,-0.062,0.049,-7
5185,"4Tau Boo",4.5,"",13.7085,17.9552777777778,13.7876944444444,17.4566666666667,358.95,73.88,0.48,0.04,-0.482,0.041,-16
5186,"",5.5,"",13.7113888888889,39.0427777777778,13.7832777777778,38.5427777777778,80.9,73.71,1.03,0.84,-0.131,-0.016,-10
5187,"84    UMa",5.7,"",13.7143611111111,54.9325,13.7765833333333,54.4327777777778,106.38,60.89,-0.08,-0.08,-0.019,0.001,-2
5188,"",5.95,"",13.7144722222222,-81.8294444444444,13.9274166666667,-81.3338888888889,305.09,-20.06,1.46,1.57,-0.036,-0.023,-35
5189,"",6.53,"",13.7193055555556,-34.7991666666667,13.8153055555556,-34.2961111111111,315.87,25.72,0.57,0.05,-0.516,-0.174,4
5190,"Nu  Cen",3.41,"",13.7250555555556,-40.8105555555556,13.8250833333333,-40.3122222222222,314.41,19.89,-0.22,-0.84,-0.022,-0.021,9
5191,"85Eta UMa",1.86,"I",13.7266666666667,49.8125,13.7923333333333,49.3133333333333,100.69,65.32,-0.19,-0.67,-0.122,-0.011,-11
5192,"2    Cen",4.19,"I",13.7274722222222,-32.0486111111111,13.8240833333333,-33.5491666666667,316.32,26.91,1.5,1.45,-0.042,-0.057,41
5193,"Mu  Cen",3.04,"",13.7265,-40.0244444444444,13.8269444444444,-41.5261111111111,314.24,19.12,-0.17,-0.72,-0.023,-0.02,9
5194,"",5.75,"",13.7335555555556,-67.0952777777778,13.8631666666667,-68.5986111111111,308.23,-7.15,1.73,2.02,0.004,-0.003,10
5195,"",5.62,"",13.7355555555556,31.6869444444444,13.81075,31.1902777777778,54.35,76.88,1.01,NA,-0.007,0.037,11
5196,"89    Vir",4.97,"I",13.7405833333333,-16.3638888888889,13.8311944444444,-17.8658333333333,321.93,42.57,1.06,0.92,-0.1,-0.038,-40
5197,"",6.18,"",13.7406388888889,-27.4163888888889,13.8351388888889,-28.9186111111111,318.07,32.06,-0.03,-0.12,-0.048,-0.032,0
5198,"",6.44,"",13.7394166666667,-38.5963888888889,13.8387222222222,-38.0988888888889,315.03,21.58,0.99,NA,0.007,-0.012,-4
5199,"",7.4,"I",13.7443611111111,40.04,13.8158888888889,39.5427777777778,82.66,72.77,NA,NA,0.023,-0.002,-6
5200,"5Ups Boo",4.07,"I",13.7442222222222,16.2938888888889,13.8246111111111,15.7977777777778,355.81,72.4,1.52,1.87,-0.095,0.042,-6
5201,"6    Boo",4.91,"I",13.7497222222222,21.7605555555556,13.8285555555556,21.2641666666667,12.25,75.49,1.43,1.65,0.024,0.017,-3
5202,"",6.53,"",13.7516111111111,-18.5983333333333,13.8429166666667,-18.1027777777778,321.42,40.84,0.51,NA,-0.046,0.034,-30
5203,"",5.98,"",13.7528333333333,83.2541666666667,13.7064166666667,82.7525,121.01,34.18,1.01,NA,0.035,-0.041,-50
5204,"",6.38,"",13.7565277777778,37.1286111111111,13.8291666666667,36.6327777777778,74.14,74.42,NA,NA,-0.074,0.022,-12
5205,"",6.01,"",13.7564722222222,5.99361111111111,13.8401944444444,5.49722222222222,338.54,64.21,0.9,0.59,0.009,-0.003,-24
5206,"",5.77,"",13.7598055555556,-45.5972222222222,13.8631111111111,-45.1008333333333,313.53,14.73,-0.16,-0.75,-0.018,-0.03,-5
5207,"",5.25,"",13.7605833333333,-51.6844444444444,13.868,-51.1883333333333,312.14,8.97,-0.09,-0.32,-0.045,-0.035,27
5208,"",6.35,"",13.7626111111111,-34.0652777777778,13.8601666666667,-35.5666666666667,316.24,24.88,0.48,0.01,-0.1,-0.117,0
5209,"",6.45,"",13.7638333333333,-22.1130555555556,13.8556666666667,-23.6091666666667,319.96,36.49,0.69,0.27,-0.572,-0.302,2
5210,"3    Cen",4.56,"",13.7675277777778,-31.5019444444444,13.8637777777778,-31.0055555555556,317.28,28.19,-0.13,-0.6,-0.033,-0.038,10
5211,"3    Cen",6.06,"",13.7677222222222,-31.5011111111111,13.8639166666667,-31.0052777777778,317.28,28.19,-0.04,-0.15,-0.056,-0.027,0
5212,"",6.12,"",13.77125,-30.8769444444444,13.8669166666667,-30.3805555555556,317.74,29.5,0.48,NA,-0.053,-0.052,9
5213,"",5.96,"",13.7750555555556,61.9880555555556,13.8293055555556,61.4891666666667,111.06,54.27,0.96,0.64,0.065,-0.099,-11
5214,"",6.65,"",13.7776944444444,35.2677777777778,13.85125,34.7725,67.5,75.13,0.12,0.07,0.031,-0.01,-12
5215,"",5.87,"I",13.779,35.1608333333333,13.8525555555556,34.6644444444444,67.1,75.16,1.62,1.96,0.005,-0.054,-40
5216,"",6.46,"",13.7837222222222,59.0344444444444,13.8410277777778,58.5394444444444,108.83,56.94,0.09,0.08,-0.029,0.011,-40
5217,"",5.89,"",13.7870277777778,-51.1205555555556,13.8953055555556,-52.6263888888889,312.25,8.37,0.01,-0.41,-0.024,-0.029,7
5218,"",5.71,"",13.7868055555556,-66.8411111111111,13.9135833333333,-66.3475,308.92,-5.52,1.49,1.67,-0.034,-0.027,-8
5219,"",4.74,"I",13.7896666666667,34.9394444444444,13.8631944444444,34.4441666666667,66.1,75.14,1.66,1.96,-0.019,-0.032,-44
5220,"",6.04,"",13.7901111111111,12.6594444444444,13.8717777777778,12.1652777777778,349.54,69.32,0.04,0.01,0.028,-0.005,-16
5221,"4    Cen",4.73,"",13.7908333333333,-30.5663888888889,13.8868055555556,-30.0722222222222,317.93,29.14,-0.14,-0.54,-0.015,-0.012,5
5222,"",5.54,"",13.7949722222222,-34.8294444444444,13.8924444444444,-34.3358333333333,316.88,25.52,0.44,-0.01,-0.078,-0.019,-8
5223,"",6.1,"",13.7954166666667,-45.365,13.8991388888889,-46.8719444444444,313.84,14.42,-0.07,-0.92,-0.037,-0.001,-21
5224,"",6.19,"",13.8009444444444,-33.1805555555556,13.8978333333333,-34.6855555555556,317.06,25.84,1.02,0.86,-0.27,-0.075,5
5225,"7    Boo",5.7,"",13.8072777777778,18.4255555555556,13.8869166666667,17.9327777777778,3.3,73.05,0.84,NA,-0.039,0.004,-10
5226,"10    Dra",4.65,"I",13.8085,65.2172222222222,13.8571944444444,64.7233333333333,112.77,51.21,1.58,1.89,0.001,-0.002,-11
5227,"",6.4,"",13.8088333333333,68.8108333333333,13.8497777777778,68.3152777777778,114.79,47.86,1.17,NA,-0.172,-0.055,-45
5228,"",6.04,"",13.8102222222222,-27.9244444444444,13.9046111111111,-27.4302777777778,319.27,32.3,1.13,NA,-0.17,-0.069,-17
5229,"",5.9,"",13.8105833333333,29.1402777777778,13.8861944444444,28.6480555555556,42.88,76.28,0.2,0.14,-0.125,0.027,-12
5230,"",5.71,"",13.8125,-50.3313888888889,13.9200555555556,-51.8388888888889,312.77,9.49,-0.08,-0.3,-0.027,-0.024,23
5231,"Zet Cen",2.55,"",13.8216388888889,-45.2041666666667,13.9256666666667,-46.7116666666667,314.07,14.19,-0.22,-0.92,-0.057,-0.042,7
5232,"90    Vir",5.15,"I",13.8260833333333,-0.988888888888889,13.9116944444444,-0.496944444444444,333.47,57.57,1.08,1.08,-0.088,-0.018,-7
5233,"",6.19,"",13.8286944444444,-6.43333333333333,13.9161666666667,-7.94111111111111,328.8,51.59,0.53,0.01,-0.172,-0.03,-19
5234,"",6.14,"",13.8294722222222,-52.3588888888889,13.9388333333333,-53.8680555555556,312.44,7.54,0.07,0.03,-0.038,-0.014,13
5235,"8Eta Boo",2.68,"I",13.8320277777778,18.8988888888889,13.9114166666667,18.3977777777778,5.3,73.03,0.58,0.2,-0.063,-0.358,0
5236,"",6,"",13.8325555555556,-53.7916666666667,13.9425,-53.2955555555556,312.32,6.98,0.78,NA,-0.038,-0.216,5
5237,"",6.51,"",13.8331666666667,-29.2055555555556,13.9290277777778,-30.715,318.73,29.61,0.9,NA,-0.047,0.009,-18
5238,"86    UMa",5.7,"",13.8361666666667,54.2202777777778,13.8975,53.7286111111111,103.76,61.01,-0.05,-0.07,-0.03,-0.003,-16
5239,"",5.83,"",13.8353611111111,-45.9,13.93875,-45.4075,314.39,14.83,1.14,1.11,-0.164,-0.076,-1
5240,"",6.09,"",13.8370555555556,-77.8980555555556,14.0091111111111,-77.41,306.44,-16.19,0.03,-0.17,-0.021,-0.005,6
5241,"",4.71,"",13.8401388888889,-62.8036111111111,13.9608055555556,-62.3133333333333,310.19,-1.75,1.11,1.04,-0.044,-0.03,22
5242,"",6.2,"",13.8508888888889,-64.6888888888889,13.9753333333333,-64.1994444444445,309.74,-3.82,1.05,0.81,-0.033,-0.036,-29
5243,"",6.16,"",13.8502222222222,14.5463888888889,13.9305555555556,14.0563888888889,355.12,70.09,0.5,-0.08,-0.292,0.007,-13
5244,"92    Vir",5.91,"",13.8561388888889,1.53972222222222,13.9410833333333,1.05055555555556,336.53,59.61,0.2,0.14,-0.026,0.014,-23
5245,"",6.32,"",13.8622777777778,32.5205555555556,13.93625,32.0325,56.03,75.11,0.37,0.06,-0.118,0.048,-22
5246,"",6.14,"I",13.8648888888889,-21.4655555555556,13.9576944444444,-22.9772222222222,322.14,37.37,1.43,NA,-0.041,0.006,1
5247,"9    Boo",5.01,"I",13.8667222222222,27.9825,13.9428333333333,27.4919444444444,38.12,75.54,1.42,1.72,0.028,-0.048,-40
5248,"Phi Cen",3.83,"",13.8698333333333,-40.3877777777778,13.9711944444444,-41.8991666666667,315.98,19.07,-0.21,-0.83,-0.024,-0.021,6
5249,"Ups1Cen",3.87,"",13.875,-43.6844444444444,13.978,-43.1963888888889,315.29,16.45,-0.2,-0.8,-0.025,-0.024,5
5250,"47    Hya",5.15,"",13.88175,-23.5158333333333,13.9753055555556,-23.0277777777778,321.66,35.45,-0.1,-0.4,-0.049,-0.029,5
5251,"",5.91,"",13.8811388888889,-48.1177777777778,13.9881388888889,-49.63,313.86,11.06,0.96,NA,0.011,-0.034,-5
5252,"",6.49,"",13.8867222222222,-59.0061111111111,14.0048055555556,-60.5186111111111,311.06,0.3,0.33,-0.04,-0.072,-0.04,6
5253,"",5.97,"",13.8888888888889,-64.2175,14.0145,-65.7313888888889,309.85,-4.33,0.35,0.07,-0.136,-0.016,-17
5254,"",6,"I",13.8972777777778,15.1375,13.97775,14.6494444444444,357.75,69.98,1.44,1.71,-0.061,-0.056,-41
5255,"10    Boo",5.76,"",13.8993611111111,22.1841666666667,13.9774722222222,21.6961111111111,17.02,73.78,-0.03,0.02,-0.009,-0.045,6
5256,"",6.37,"",13.9071111111111,61.9738888888889,13.9589166666667,61.4927777777778,109.61,53.9,NA,NA,-0.034,0.21,-25
5257,"48    Hya",5.77,"",13.9066666666667,-23.4777777777778,14.0000277777778,-24.9897222222222,322.04,35.31,0.48,NA,-0.196,-0.091,-17
5258,"",6.4,"",13.9106388888889,-2.9375,13.9970277777778,-2.45027777777778,333.84,55.17,0.49,0.06,-0.025,-0.058,-8
5259,"",6.13,"",13.9212777777778,-38.2622222222222,14.0219444444444,-39.7777777777778,317.12,20.72,1.25,1.29,-0.037,-0.006,-45
5260,"Ups2Cen",4.34,"",13.92475,-44.8811111111111,14.0287222222222,-44.3963888888889,315.6,15.53,0.6,0.27,0.002,-0.019,-1
5261,"The Aps",5.5,"I",13.92625,-75.6858333333333,14.0888333333333,-75.2033333333333,307.22,-14.54,1.55,1.05,-0.094,-0.032,10
5262,"",5.99,"",13.9398333333333,9.37861111111111,14.0223333333333,8.89472222222222,348.38,65.4,0.09,0.1,0.036,-0.007,-17
5263,"11    Boo",6.23,"",13.944,27.8697222222222,14.0195833333333,27.3866666666667,37.9,74.51,0.17,NA,-0.08,0.017,-24
5264,"93Tau Vir",4.26,"",13.9425833333333,2.02833333333333,14.0274444444444,1.54444444444444,339.22,59.38,0.1,0.12,0.018,-0.021,-2
5265,"",5.48,"I",13.9448333333333,-25.0530555555556,14.0396666666667,-26.57,321.7,32.84,1.34,1.44,-0.033,-0.008,0
5266,"",5.92,"",13.9446666666667,-54.2694444444444,14.0572777777778,-55.7863888888889,312.87,5.26,1.22,1.18,-0.083,-0.031,17
5267,"Bet Cen",0.61,"",13.9460555555556,-58.1094444444444,14.0637222222222,-59.6269444444444,311.77,1.25,-0.23,-0.98,-0.032,-0.019,6
5268,"",6.18,"",13.9536666666667,-30.7961111111111,14.0504722222222,-30.3161111111111,320.29,28.76,0.48,NA,0.022,0.083,5
5269,"",6.11,"",13.9560277777778,-39.0588888888889,14.0576388888889,-40.5766666666667,317.16,19.45,-0.11,-0.39,-0.034,-0.017,4
5270,"",6.2,"",13.9603888888889,10.1702777777778,14.0421666666667,9.68638888888889,350.17,65.8,0.9,0.38,-0.196,-0.063,-23
5271,"",6.27,"",13.9705,46.2375,14.0367222222222,45.7536111111111,90.56,66.67,1.32,1.45,0.033,-0.076,-49
5272,"",6.3,"",13.97175,-20.0591666666667,14.06475,-21.5783333333333,324.15,37.45,0.45,NA,-0.012,0.013,-19
5273,"",6.3,"",13.9770833333333,11.2761111111111,14.0589722222222,10.7866666666667,352.46,66.45,0.74,0.29,0.083,-0.307,-17
5274,"",6.26,"",13.9774444444444,8.0275,14.0602222222222,7.54638888888889,347.39,64,0.94,0.7,-0.038,-0.012,-20
5275,"",6.24,"",13.9818055555556,5.38166666666667,14.0655,4.90083333333333,343.99,61.85,0.39,-0.02,-0.011,-0.003,-23
5276,"",6.39,"",13.9836666666667,-3.09916666666667,14.0707222222222,-4.61861111111111,334.07,53.03,1.32,1.58,-0.009,-0.011,-9
5277,"",6.28,"",13.9838888888889,-13.5088888888889,14.0741666666667,-13.0283333333333,327.95,44.32,1.08,0.95,-0.036,-0.019,-15
5278,"",6.17,"",13.9846111111111,-53.8105555555556,14.09625,-53.3305555555556,313.63,6.65,0.23,NA,-0.05,-0.019,-36
5279,"",6.02,"",13.9877777777778,-73.6222222222222,14.1408611111111,-73.1497222222222,308,-12.75,0.58,0.06,-0.252,0.179,-22
5280,"",6.15,"",13.9878888888889,51.4527777777778,14.0499166666667,50.9719444444444,98.11,62.57,0.01,NA,-0.021,0,-10
5281,"",6.42,"",13.9894444444444,-58.7627777777778,14.1069722222222,-58.2844444444444,312.26,1.79,0.12,-0.8,-0.011,0.019,2
5282,"",6.34,"I",13.9939444444444,69.16,14.0307222222222,68.6786111111111,113.63,47.16,1.4,NA,-0.035,-0.001,-22
5283,"",6.28,"",13.9925833333333,2.77722222222222,14.0770833333333,2.2975,341.25,59.61,1.02,0.87,-0.03,-0.003,-29
5284,"",6.56,"",13.9963888888889,-14.1430555555556,14.0872222222222,-15.6641666666667,327.46,42.99,0.1,NA,0.002,0.006,-13
5285,"Chi Cen",4.36,"",13.9989722222222,-39.2994444444444,14.1007777777778,-40.8202777777778,317.73,19.54,-0.19,-0.77,-0.017,-0.02,12
5286,"",6.2,"",14.0000277777778,-41.3877777777778,14.1030277777778,-42.9080555555556,317.15,17.71,0.98,NA,-0.006,-0.037,22
5287,"49Pi  Hya",3.27,"I",14.01125,-25.7994444444444,14.1061944444444,-25.3175,323,33.25,1.12,1.04,0.044,-0.139,27
5288,"5The Cen",2.06,"I",14.01325,-34.1219444444444,14.1113888888889,-35.63,319.46,24.08,1.01,0.87,-0.519,-0.519,1
5289,"",6.4,"",14.0141944444444,-61.2677777777778,14.1373055555556,-62.7919444444444,311.46,-1.62,1.02,NA,0.025,0.038,39
5290,"95    Vir",5.46,"",14.0237222222222,-7.16361111111111,14.1118888888889,-8.68666666666667,332.12,49.24,0.34,0.08,-0.139,0.011,-36
5291,"11Alp Dra",3.65,"",14.028,64.8538888888889,14.0731388888889,64.3758333333333,110.52,50.96,-0.05,-0.08,-0.055,0.018,-13
5292,"",6.34,"",14.0314166666667,-57.1991666666667,14.1489722222222,-58.7233333333333,312.7,2.12,0.05,-0.51,-0.01,-0.011,-2
5293,"",6.05,"",14.0362777777778,-68.1691666666667,14.17525,-69.6944444444444,309.55,-8.46,1.74,1.84,-0.006,-0.01,-1
5294,"",6.17,"",14.0441944444444,-41.0047222222222,14.14775,-42.5288888888889,317.52,17.2,-0.06,NA,-0.019,-0.028,-2
5295,"",6.06,"",14.0464722222222,-68.7547222222222,14.1838611111111,-68.2802777777778,309.77,-7.91,0.18,0.15,-0.035,-0.026,-3
5296,"",6,"",14.0501944444444,-50.97,14.1597222222222,-50.4952777777778,315.12,9.51,-0.06,-0.27,-0.03,-0.007,5
5297,"",4.75,"",14.05425,-51.0375,14.1652222222222,-52.5608333333333,314.58,7.65,0.94,0.72,-0.146,-0.096,-16
5298,"96    Vir",6.47,"",14.0613333333333,-8.13916666666667,14.1501666666667,-9.66555555555555,332.2,48.08,1,0.73,-0.005,0.025,-20
5299,"",5.27,"I",14.0655277777778,44.33,14.1321666666667,43.8544444444444,85.26,67.26,1.59,1.66,0.011,-0.028,-36
5300,"13    Boo",5.25,"I",14.0758611111111,49.9305555555556,14.1381388888889,49.4580555555556,94.58,63.23,1.65,1.92,-0.061,0.059,-13
5301,"",4.91,"I",14.0896111111111,-14.1702777777778,14.1806944444444,-15.6980555555556,329.16,42.49,1.72,2.13,0.006,-0.006,18
5302,"",6.46,"",14.0944722222222,59.8113888888889,14.1461111111111,59.3377777777778,105.75,55.14,1.02,0.82,-0.123,-0.017,11
5303,"Eta Aps",4.91,"",14.0943055555556,-79.4611111111111,14.3038333333333,-80.9922222222222,306.43,-18.73,0.25,0.11,-0.031,-0.063,-9
5304,"12    Boo",4.83,"",14.0972777777778,25.5652777777778,14.1733055555556,25.0916666666667,30.82,72.18,0.54,0.07,-0.022,-0.061,11
5305,"3    UMi",6.45,"",14.1024722222222,75.0675,14.1156666666667,74.5936111111111,116.34,41.55,0.14,0.12,-0.052,0.012,-4
5306,"",6.47,"",14.1061666666667,-76.8033333333333,14.2819166666667,-76.3361111111111,307.57,-15.57,1.42,1.42,-0.017,0.009,-10
5307,"",6.43,"",14.1073888888889,1.8325,14.192,1.36222222222222,342.99,57.87,0.48,0.04,-0.125,0.028,-18
5308,"",5.56,"",14.109,-52.8044444444444,14.2212222222222,-52.3341666666667,314.98,7.28,1.44,NA,-0.012,-0.018,-3
5309,"",6.34,"",14.1124722222222,-22.1069444444444,14.2068055555556,-23.6358333333333,325.54,34.93,1.35,NA,0.011,-0.028,11
5310,"",6.11,"",14.1148333333333,32.7655555555556,14.1875277777778,32.2955555555556,54.36,71.95,1.26,1.43,-0.025,0.022,-22
5311,"",6.11,"",14.1145,-53.8438888888889,14.22775,-53.3741666666667,314.73,6.35,0.05,-0.38,-0.019,-0.015,66
5312,"50    Hya",5.08,"I",14.11725,-25.2094444444444,14.2127777777778,-26.7388888888889,324.34,32.21,1.16,1.13,-0.012,-0.034,27
5313,"",5.01,"",14.12,2.88,14.2043888888889,2.40944444444444,344.43,58.61,-0.12,-0.42,-0.042,-0.026,-2
5314,"",6.24,"",14.125,-25.8575,14.2203333333333,-25.3877777777778,324.74,32.77,1.08,NA,0.009,-0.014,-10
5315,"98Kap Vir",4.19,"I",14.126,-8.19166666666667,14.2149444444444,-9.72638888888889,333.51,47.7,1.33,1.47,0.008,0.14,-4
5316,"",5.07,"",14.1330555555556,-55.3822222222222,14.2491666666667,-56.9141666666667,314.13,3.96,-0.08,-0.63,-0.039,-0.009,7
5317,"",5.91,"",14.142,0.373333333333333,14.228,0.845555555555556,341.52,55.74,0.47,0.03,0.207,-0.141,18
5318,"",5.61,"",14.1421944444444,-40.6305555555556,14.2451666666667,-40.1625,319.14,18.4,0.93,0.58,-0.133,-0.021,-38
5319,"",6.39,"",14.1434722222222,-52.9572222222222,14.2558888888889,-52.4902777777778,315.33,7.33,1.57,NA,-0.03,0.002,-21
5320,"",5.75,"",14.1456666666667,-65.8783333333333,14.2773888888889,-65.4122222222222,311.26,-5.1,-0.06,-0.87,-0.015,-0.005,-9
5321,"4    UMi",4.82,"I",14.1538611111111,78.0175,14.1474722222222,77.5475,117.67,38.78,1.36,1.39,-0.032,0.034,6
5322,"",6.36,"",14.1524166666667,-4.51722222222222,14.23925,-4.0525,337.22,51.32,0.6,0.16,-0.306,0.088,-32
5323,"14    Boo",5.54,"",14.1545833333333,13.4283333333333,14.2347777777778,12.9594444444444,0.78,66.03,0.54,0.09,-0.256,-0.052,-39
5324,"",6.08,"",14.1538055555556,-27.1852777777778,14.2503611111111,-28.7180555555556,324.02,30.14,NA,NA,-0.03,-0.015,-13
5325,"",6.31,"",14.1548888888889,-43.4694444444444,14.2607777777778,-44.9991666666667,318.2,15.36,0.6,NA,0.137,-0.142,3
5326,"",6.39,"I",14.1560555555556,-58.5522222222222,14.2761666666667,-58.0861111111111,313.42,1.21,2.04,1.24,-0.019,-0.018,-20
5327,"",6.42,"",14.15975,-81.6122222222222,14.4064722222222,-81.1513888888889,305.94,-20.53,0.02,-0.33,0.001,-0.019,27
5328,"17Kap1Boo",6.69,"",14.1646666666667,52.2555555555556,14.2243611111111,51.7877777777778,96.46,60.92,0.39,-0.04,0.054,-0.019,-20
5329,"17Kap2Boo",4.54,"",14.165,52.2575,14.2247222222222,51.7902777777778,96.46,60.91,0.2,0.14,0.063,-0.002,-17
5330,"15    Boo",5.29,"I",14.1658055555556,10.5716666666667,14.2474444444444,10.1005555555556,356,64,1,0.77,-0.028,-0.167,17
5331,"",6.45,"I",14.1640277777778,3.80305555555556,14.2480555555556,3.33611111111111,346.51,58.96,1.6,1.72,-0.045,-0.014,-48
5332,"",5.43,"",14.1648055555556,-16.2658333333333,14.2566944444444,-17.7991666666667,329.44,40.31,-0.03,-0.08,-0.039,-0.012,-19
5333,"",6.39,"",14.1674722222222,22.34,14.2447222222222,21.8733333333333,21.95,70.38,0.18,0.09,0.039,-0.006,-4
5334,"",5.24,"I",14.1701111111111,69.9019444444445,14.2011111111111,69.4325,112.88,46.09,1.58,1.84,-0.027,-0.047,-23
5335,"",6.24,"",14.1726388888889,41.9880555555556,14.2398611111111,41.5188888888889,78.52,67.73,1.04,NA,-0.024,-0.105,-10
5336,"Eps Aps",5.06,"",14.1712777777778,-78.3527777777778,14.3729722222222,-79.8911111111111,306.93,-17.95,-0.1,-0.57,-0.025,-0.009,5
5337,"",6.55,"",14.1730555555556,-31.2238888888889,14.27175,-32.7586111111111,322.67,26.36,0.3,NA,0.022,0.004,3
5338,"99Iot Vir",4.08,"I",14.1794722222222,-4.47666666666667,14.2669166666667,-5.99944444444444,337.75,51.07,0.52,0.04,-0.004,-0.432,12
5339,"Del Oct",4.32,"",14.181,-82.7902777777778,14.4485833333333,-82.3322222222222,305.68,-21.31,1.31,1.45,-0.105,-0.007,5
5340,"16Alp Boo",-0.04,"I",14.185,19.7030555555556,14.2610277777778,19.1825,15.14,69.11,1.23,1.27,-1.093,-1.998,-5
5341,"",6.44,"",14.185,-5.84333333333333,14.2726388888889,-5.37805555555556,337.36,50.49,0.28,0.09,-0.032,-0.016,-34
5342,"",6.15,"",14.1886388888889,-1.26916666666667,14.2750277777778,-2.80361111111111,340.32,53.39,-0.01,-0.01,-0.025,-0.038,2
5343,"",5.98,"",14.1894444444444,19.3775,14.2678333333333,18.9119444444444,14.49,68.9,0.26,0.05,0.043,-0.028,4
5344,"",6.22,"",14.1921944444444,-17.8786111111111,14.2843888888889,-17.4147222222222,329.69,39.8,0.98,NA,0.001,0.005,-12
5345,"",6.58,"",14.1962777777778,53.0008333333333,14.2546944444444,52.5358333333333,97,60.16,0.1,0.09,-0.032,-0.004,-15
5346,"",6.25,"",14.1982777777778,20.5883333333333,14.2757777777778,20.1213888888889,17.7,69.32,0.49,NA,-0.148,-0.103,-8
5347,"",6.38,"",14.2055833333333,40.2083333333333,14.2733888888889,39.7447222222222,73.94,68.33,0.36,-0.07,-0.147,0.008,-24
5348,"",6.54,"",14.2079444444444,-31.2430555555556,14.3066111111111,-32.7794444444444,323.14,26.22,0.27,NA,-0.07,-0.042,-29
5349,"",5.23,"",14.2086666666667,-59.1908333333333,14.3309722222222,-60.7269444444444,313.35,-0.2,0.29,0.16,-0.171,-0.093,21
5350,"21Iot Boo",4.75,"",14.2103888888889,51.8283333333333,14.2694166666667,51.3672222222222,95.23,60.96,0.2,0.06,-0.15,0.092,-19
5351,"19Lam Boo",4.18,"",14.2096944444444,46.5475,14.2730555555556,46.0883333333333,86.97,64.67,0.08,0.05,-0.187,0.161,-8
5352,"",5.8,"I",14.2115277777778,15.7261111111111,14.2912222222222,15.2633333333333,6.61,66.76,1.71,2.07,0.012,0.011,-10
