"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
2689,"The Men",5.45,"",7.04833333333333,-78.7233333333333,6.94288888888889,-78.5797222222222,291.11,-26.4,0.05,-0.07,-0.007,0,6
2690,"",5.71,"",7.05325,-22.3155555555556,7.12294444444444,-22.1597222222222,236.01,-7.34,-0.1,-0.89,-0.005,0.023,29
2691,"",5.79,"",7.06402777777778,-39.2636111111111,7.11863888888889,-39.1066666666667,251.72,-14.63,-0.17,-0.67,-0.007,0.004,6
2692,"",6.43,"",7.06961111111111,21.4211111111111,7.16852777777778,21.2469444444444,195.71,13.46,0.89,0.5,-0.167,-0.478,-15
2693,"25Del CMa",1.84,"I",7.07208333333333,-25.7655555555556,7.13986111111111,-25.6066666666667,238.42,-8.27,0.68,0.54,-0.003,0.004,34
2694,"",6.21,"",7.07669444444444,-9.81361111111111,7.15563888888889,-9.65277777777778,224.17,-0.78,0.03,-0.89,0.005,-0.02,58
2695,"",6.65,"",7.0775,-22.1161111111111,7.14702777777778,-23.9558333333333,236.34,-7.13,-0.19,-0.81,-0.013,-0.009,57
2696,"63    Aur",4.9,"I",7.07961111111111,39.4836111111111,7.19425,39.3205555555556,178.27,20.46,1.45,1.74,0.044,0.003,-27
2697,"46Tau Gem",4.41,"I",7.07958333333333,30.4091666666667,7.18566666666667,30.2452777777778,187.22,17.2,1.26,1.41,-0.03,-0.045,22
2698,"",5.96,"",7.08038888888889,-50.1886111111111,7.12036111111111,-50.0322222222222,262.46,-18.75,1,0.82,-0.008,0.057,29
2699,"",6.03,"",7.08419444444444,-15.9266666666667,7.15922222222222,-15.7652777777778,229.42,-3.44,0.06,-0.79,-0.022,-0.009,6
2700,"47    Gem",5.78,"",7.08636111111111,27.0211111111111,7.18975,26.8566666666667,190.51,15.96,0.1,0.13,-0.023,-0.036,39
2701,"20    Mon",4.92,"I",7.08766666666667,-3.91916666666667,7.17047222222222,-3.76277777777778,218.85,2.23,1.03,0.78,0,0.215,79
2702,"",4.83,"",7.09152777777778,-38.505,7.14752777777778,-38.3441666666667,250.69,-13.83,-0.18,-0.69,-0.009,0.002,20
2703,"",5.47,"I",7.09322222222222,51.5947222222222,7.22316666666667,51.4288888888889,165.8,24.18,1.67,1.9,0.006,0.014,-51
2704,"",5.69,"",7.09325,-24.9308333333333,7.16191666666667,-24.7688888888889,237.5,-7.48,-0.16,-0.77,-0.012,0.006,27
2705,"",6.23,"",7.09583333333333,-17.4769444444444,7.16925,-17.3147222222222,231.68,-4.43,0.4,NA,-0.01,0.016,33
2706,"48    Gem",5.85,"",7.10605555555555,24.2958333333333,7.20733333333333,24.1283333333333,193.21,15.11,0.36,0.09,-0.022,-0.048,13
2707,"21    Mon",5.45,"",7.10469444444444,0.136944444444444,7.18988888888889,0.301944444444444,215.48,4.3,0.29,0.14,-0.031,-0.011,30
2708,"",5.46,"",7.10508333333333,-26.6719444444444,7.17205555555556,-26.5086111111111,239.61,-8.37,1,NA,-0.003,0.009,15
2709,"",6.31,"",7.10669444444444,81.4394444444444,7.42275,81.2575,132.74,28.08,-0.04,-0.09,-0.005,-0.026,-8
2710,"",6.09,"",7.10869444444444,5.82055555555556,7.19758333333333,5.65472222222222,210.2,7.11,-0.02,-0.05,-0.017,-0.008,42
2711,"",6.43,"",7.10991666666667,27.3944444444444,7.21361111111111,27.2247222222222,190.28,16.4,0.49,-0.02,0.01,-0.104,-13
2712,"",6.47,"",7.11008333333333,-67.3216666666667,7.10391666666667,-67.1627777777778,279.73,-23.86,1.04,0.87,-0.004,0.008,-14
2713,"",6.16,"",7.11330555555555,5.64083333333333,7.20205555555556,5.47472222222222,210.39,7.09,1.14,0.97,-0.036,0.005,20
2714,"22Del Mon",4.15,"",7.11261111111111,0.326944444444444,7.19775,0.492777777777778,215.7,4.32,-0.01,0.02,-0.001,0.005,15
2715,"18    Lyn",5.2,"I",7.11969444444444,59.8158333333333,7.26525,59.6375,156.99,26.2,1.07,1.01,-0.101,-0.259,24
2716,"",5.84,"",7.123,-19.2827777777778,7.19488888888889,-19.1169444444444,233.8,-5.11,-0.04,-0.05,-0.003,0.022,18
2717,"51    Gem",5,"I",7.12713888888889,16.3286111111111,7.22286111111111,16.1588888888889,200.78,12.04,1.66,1.82,0.013,-0.042,-9
2718,"26    CMa",5.92,"",7.13516666666667,-24.225,7.20338888888889,-24.0575,238.4,-7.3,-0.17,-0.71,-0.009,0.011,22
2719,"",5.14,"",7.13508333333333,-47.2286111111111,7.17986111111111,-47.0677777777778,259.7,-17.13,1.24,1.29,-0.012,0.192,64
2720,"",6.1,"",7.13688888888889,-29.3455555555556,7.20113888888889,-29.1783333333333,242.8,-9.49,0.27,0.06,-0.039,0.015,6
2721,"",5.58,"",7.14016666666667,47.4175,7.26391666666667,47.24,170.34,23.52,0.58,0.03,0.03,-0.183,85
2722,"",6.89,"",7.139,24.8822222222222,7.24072222222222,24.7108333333333,192.84,15.76,-0.03,-0.07,0.003,-0.016,3
2723,"",5.78,"I",7.14027777777778,-10.9177777777778,7.21866666666667,-10.7486111111111,225.4,-0.37,1.51,1.76,-0.003,0.008,9
2724,"",6.59,"",7.13969444444445,-26.6938888888889,7.20669444444444,-26.5258333333333,239.8,-7.95,0.19,NA,-0.025,0.008,-8
2725,"52    Gem",5.82,"I",7.14305555555556,25.0586111111111,7.24497222222222,24.885,192.7,15.88,1.56,1.83,0.047,-0.092,47
2726,"",5.96,"",7.14794444444444,-35.6244444444444,7.20713888888889,-35.4555555555556,248.09,-11.89,-0.14,-0.62,-0.022,0.004,17
2727,"",5.31,"",7.14916666666667,-39.6702777777778,7.20438888888889,-39.5011111111111,251.76,-13.57,0.06,0.09,-0.018,-0.015,17
2728,"",5.62,"",7.14947222222222,12.2877777777778,7.24238888888889,12.1158333333333,204.63,10.56,1.01,0.77,-0.05,-0.02,30
2729,"",5.35,"I",7.15155555555556,3.28277777777778,7.23888888888889,3.11138888888889,212.76,6.51,1.19,1.18,-0.006,-0.002,37
2730,"",6.01,"I",7.15261111111111,-21.4975,7.22330555555556,-21.3266666666667,235.58,-5.58,1.48,1.69,0.006,-0.008,-5
2731,"",5.75,"I",7.15338888888889,-2.26972222222222,7.23638888888889,-2.09861111111111,219.01,3.27,1.58,1.89,-0.015,0.007,22
2732,"",5.9,"I",7.15841666666667,-8.22416666666667,7.23763888888889,-8.0525,224.38,0.48,1.52,1.72,-0.004,0.004,43
2733,"",6.36,"",7.15961111111111,-21.2655555555556,7.23008333333333,-21.0936111111111,235.84,-5.6,-0.21,-0.83,-0.012,-0.017,17
2734,"",6.12,"",7.15963888888889,-26.8147222222222,7.22675,-26.6436111111111,239.81,-7.65,-0.23,-1.01,-0.025,0.006,43
2735,"Gam1Vol",5.69,"",7.15927777777778,-69.6655555555556,7.14505555555556,-69.5027777777778,281.55,-24.05,0.4,0.04,0.007,0.101,-3
2736,"Gam2Vol",3.78,"",7.15994444444445,-69.6636111111111,7.14580555555556,-69.5011111111111,281.56,-24.04,1.04,0.88,0.023,0.106,3
2737,"",5.92,"",7.16188888888889,52.3075,7.29269444444444,52.1308333333333,165.21,24.97,1.26,NA,-0.001,-0.025,-7
2738,"53    Gem",5.71,"I",7.16177777777778,28.0713888888889,7.26586111111111,27.8975,189.91,17.3,1.63,2,-0.016,0.001,24
